libpagemaker 0.0.4-2
libpaper 1.1.28-1
libpcap 1.10.0-1
libpciaccess 0.16-2
libpipeline 1.5.3-1
libpipewire02 0.2.7-1
libplacebo 3.104.0-1
libplist 2.2.0-3
libpng 1.6.37-3
libproxy 0.4.17-1
libpsl 0.21.1-1
libpulse 14.2-2
libqxp 0.0.2-5
libraqm 0.7.1-1
libraw 0.20.2-1
libraw1394 2.1.2-3
libreoffice-fresh 7.0.4-3
librevenge 0.0.4-3
librsvg 2:2.50.2-1
libsamplerate 0.1.9-3
libsasl 2.1.27-3
libseccomp 2.5.1-2
libsecret 0.20.4-1
libsigc++ 2.10.6-1
libsigsegv 2.13-1
libsm 1.2.3-2
libsndfile 1.0.28-3
libsoup 2.72.0+5+g0b094bff-3
libsoxr 0.1.3-2
libspiro 1:20200505-2
libspnav 0.2.3-3
libssh 0.9.5-1
libssh2 1.9.0-2
libstaroffice 0.0.7-1
libstemmer 0+713-2
libsynctex 2020.54586-9
libtar 1.2.20-5
libtasn1 4.16.0-1
libthai 0.1.28-2
libtheora 1.1.1-5
libtiff 4.1.0-2
libtirpc 1.3.1-1
libtommath 1.2.0-3
libtool 2.4.6+42+gb88cebd5-14
libuninameslist 20200413-2
libunistring 0.9.10-3
libunwind 1.3.1-2
libupnp 1.14.0-1
libusb 1.0.24-2
libusbmuxd 2.0.2-1
libutempter 1.2.1-1
libuv 1.40.0-1
libva 2.10.0-1
libvdpau 1.4-1
libvisio 0.1.7-4
libvisual 0.4.0-8
libvorbis 1.3.7-2
libvpx 1.9.0-1
libwacom 1.7-1
libwebp 1.1.0-1
libwmf 0.2.12-2
libwpd 0.10.3-2
libwpe 1.8.0-1
libwpg 0.3.3-2
libwps 0.4.12-1
libx11 1.7.0-3
libxau 1.0.9-3
libxaw 1.0.13-3
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.17-1
libxcursor 1.2.0-2
libxdamage 1.1.5-3
libxdg-basedir 1.2.0-5
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfce4ui 4.16.0-1
libxfce4util 4.16.0-1
libxfixes 5.0.3-4
libxfont2 2.0.4-3
libxft 2.3.3-2
libxi 1.7.10-3
libxinerama 1.1.4-3
libxkbcommon 1.0.3-1
libxkbcommon-x11 1.0.3-1
libxkbfile 1.1.0-2
libxklavier 5.4-3
libxml2 2.9.10-8
libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxshmfence 1.3-2
libxslt 1.1.34-5
libxss 1.2.3-3
libxt 1.2.0-2
libxtst 1.2.3-4
libxv 1.0.11-4
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libzip 1.7.3-1
libzmf 0.0.2-9
licenses 20200427-1
light-locker 1.9.0-4
lightdm 1:1.30.0-4
lightdm-gtk-greeter 1:2.0.8-1
lightdm-settings 1.5.1-1
lightdm-slick-greeter 1.4.0-1
linux 5.10.9.arch1-1
linux-api-headers 5.8-1
linux-firmware 20201218.646f159-1
linux-gpib-dkms 4.3.3-1
linux-headers 5.10.9.arch1-1
lld 11.0.1-1
llvm-libs 11.0.1-1
lm_sensors 3.6.0-2
lmdb 0.9.27-1
log4cplus 2.0.5-1
lpsolve 5.5.2.5-4
lsb-release 1.4-18
lsof 4.94.0-1
lua 5.4.2-1
lua52 5.2.4-5
luajit 2.0.5-3
luit 20201003-1
lvm2 2.02.187-3
lxmenu-data 0.1.5-3
lynx 2.8.9-3
lz4 1:1.9.3-1
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.49-1
make 4.3-3
man-db 2.9.3-1
mbedtls 2.25.0-1
md4c 0.4.7-1
mdadm 4.1-2
med 4.1.0-3
media-player-info 24-2
menu-cache 1.1.0-2
mesa 20.3.3-1
metis 5.1.0.p10-1
minizip 1:1.2.11-4
mkinitcpio 29-1
mkinitcpio-busybox 1.32.1-2
mpfr 4.1.0-1
mtdev 1.1.6-1
mujs 1.1.0-1
mypaint-brushes 2.0.2-1
mypaint-brushes1 1.3.1-1
ncurses 6.2-1
ndctl 71.1-1
neon 0.31.2-1
net-snmp 5.9-3
net-tools 2.10-1
netcdf 4.7.4-1
netctl 1.24-1
netpbm 10.73.33-1
nettle 3.7-1
ngspice 33-1
ninja 1.10.2-1
nitrogen 1.6.1-3
node-gyp 7.1.2-1
nodejs 15.6.0-1
noto-fonts 20201226-1
npm 6.14.11-1
npth 1.6-2
nspr 4.29-1
nss 3.60.1-1
ntp 4.2.8.p15-1
obs-studio 26.1.0-2
oniguruma 6.9.6-1
openal 1.21.0-1
opencascade 7.5.0-3
opencollada 1:1.6.68-2
opencolorio 1.1.1-6
opencore-amr 0.1.5-5
openexr 2.5.4-1
openimagedenoise 1.2.4-1
openimageio 2.2.10.0-1
openjpeg2 2.4.0-1
openmpi 4.0.5-2
openresolv 3.12.0-1
openshadinglanguage 1.11.10.0-3
openssh 8.4p1-2
openssl 1.1.1.i-2
openssl-1.0 1.0.2.u-1
opensubdiv 3.4.3-4
openvdb 8.0.0-1
openxr 1.0.12-1
opera-ffmpeg-codecs 87.0.4280.141-1
opus 1.3.1-2
orc 0.4.32-1
ostree 2020.8-1
otf-fira-mono 2:3.206-4
otf-symbola 13.00-7
p11-kit 0.23.22-1
p7zip 17.03-2
pacman 5.2.2-1
pacman-mirrorlist 20210110-1
pam 1.5.1-1
pambase 20200721.1-2
pango 1:1.48.1-1
pangomm 2.42.2-1
parted 3.3-2
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcmanfm-gtk3 1.3.1-2
pcre 8.44-1
pcre2 10.36-1
perl 5.32.0-3
perl-algorithm-diff 1.1903-6
perl-alien-build 2.38-1
perl-alien-libxml2 0.17-1
perl-capture-tiny 0.48-4
perl-class-method-modifiers 2.12-6
perl-clone 0.45-2
perl-data-optlist 0.110-6
perl-dbi 1.643-2
perl-devel-globaldestruction 0.14-6
perl-encode-locale 1.05-7
perl-error 0.17029-2
perl-ffi-checklib 0.27-2
perl-file-chdir 0.1011-4
perl-file-listing 6.14-1
perl-file-which 1.23-4
perl-html-parser 3.75-1
perl-html-tagset 3.20-10
perl-http-cookies 6.10-1
perl-http-daemon 6.06-2
perl-http-date 6.05-3
perl-http-message 6.27-1
perl-http-negotiate 6.01-8
perl-import-into 1.002005-6
perl-inc-latest 0.500-7
perl-io-html 1.004-1
perl-libwww 6.52-1
perl-lwp-mediatypes 6.02-8
perl-mailtools 2.21-4
perl-module-build 0.4231-3
perl-module-runtime 0.016-2
perl-moo 2.003006-2
perl-net-http 6.20-1
perl-parallel-forkmanager 2.02-2
perl-params-util 1.102-1
perl-path-tiny 0.114-1
perl-regexp-common 2017060201-3
perl-rename 1.10-1
perl-role-tiny 2.001004-2
perl-sub-exporter 0.987-6
perl-sub-exporter-progressive 0.001013-6
perl-sub-install 0.928-6
perl-sub-quote 2.006003-3
perl-timedate 2.33-2
perl-try-tiny 0.30-5
perl-uri 5.05-1
perl-www-robotrules 6.02-8
perl-xml-libxml 2.0206-1
perl-xml-namespacesupport 1.12-4
perl-xml-parser 2.46-2
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-4
phonon-qt5 4.11.1-2
phonon-qt5-vlc 0.11.1-2
picom 8.2-1
pinentry 1.1.0-5
pipewire 1:0.3.20-1
pixman 0.40.0-1
pkgconf 1.7.3-1
polkit 0.118-1
polkit-qt5 0.113.0-2
poppler 21.01.0-1
poppler-data 0.4.10-1
poppler-glib 21.01.0-1
poppler-qt5 21.01.0-1
popt 1.18-1
potrace 1.16-2
ppp 2.4.7-7
procps-ng 3.3.16-2
protobuf 3.12.4-3
psmisc 23.3-4
ptex 2.3.2-2
pugixml 1.11.4-1
pulseaudio 14.2-2
pulseaudio-alsa 1:1.2.2-2
pulseaudio-bluetooth 14.2-2
purpose 5.78.0-1
pybind11 2.6.1-1
pygtk 2.24.0-12
pyside2 5.15.2-2
pyside2-tools 5.15.2-1
python 3.9.1-1
python-anytree 2.8.0-3
python-appdirs 1.4.4-3
python-asn1crypto 1.4.0-3
python-botocore 1.19.54-1
python-cachecontrol 0.12.6-3
python-cairo 1.20.0-3
python-cffi 1.14.4-1
python-chardet 3.0.4-7
python-colorama 0.4.4-3
python-colorthief 0.2.1-1
python-contextlib2 0.6.0.post1-3
python-cryptography 3.3.1-1
python-cycler 0.10.0-8
python-dateutil 2.8.1-5
python-dbus 1.2.16-3
python-dbus-common 1.2.16-3
python-distlib 0.3.1-2
python-distro 1.5.0-3
python-docutils 0.16-4
python-future 0.18.2-5
python-gobject 3.38.0-3
python-haishoku 1.1.8-1
python-html5lib 1.1-5
python-idna 2.10-3
python-jmespath 0.10.0-3
python-kiwisolver 1.3.1-3
python-lxml 4.6.2-1
python-matplotlib 3.3.3-2
python-msgpack 1.0.2-2
python-numpy 1.19.5-1
python-ordered-set 4.0.2-3
python-packaging 20.8-2
python-pep517 0.9.1-3
